Candidate	Party	Rank	Gender	Norwegian	Ethnicity	Birth Year	Priority	County	Code	Municipality
Rieber-Mohn Libe 	AP	1	Female	Norsk		1965	Yes	Oslo	0301	Oslo
Gerhardsen Rune	AP	2	Male	Norsk		1946	Yes	Oslo	0301	Oslo
Hansen Rina Mariann	AP	3	Female	Norsk		1977	Yes	Oslo	0301	Oslo
Halse Andreas	AP	4	Male	Norsk		1977	Yes	Oslo	0301	Oslo
Dahl Tone Tellevik	AP	5	Female	Norsk		1970	Yes	Oslo	0301	Oslo
Alsabeehg Abdullah	AP	6	Male	Non	Arabic	1986	Yes	Oslo	0301	Oslo
Thorvik Bettina	AP	7	Female	Norsk		1972	Yes	Oslo	0301	Oslo
Røberg-Larsen Anders 	AP	8	Male	Norsk		1978	Yes	Oslo	0301	Oslo
Bachke Nina	AP	9	Female	Non	Indian	1974	Yes	Oslo	0301	Oslo
Butt Nadeem 	AP	10	Male	Non	Arabic	1959	Yes	Oslo	0301	Oslo
Gunaratnam Khamshajiny	AP	11	Female	Non	Indian	1988	No	Oslo	0301	Oslo
Lundberg Bjørn A. 	AP	12	Male	Norsk		1942	No	Oslo	0301	Oslo
Leiner Katinka Greve	AP	13	Female	Norsk		1967	No	Oslo	0301	Oslo
Stenersen Dag Harlem	AP	14	Male	Norsk		1977	No	Oslo	0301	Oslo
Berger Anne Cathrine	AP	15	Female	Norsk		1972	No	Oslo	0301	Oslo
Nwosu Elvis Chi 	AP	16	Male	Non	Nigerian	1965	No	Oslo	0301	Oslo
Evensen Victoria Marie	AP	17	Female	Norsk		1980	No	Oslo	0301	Oslo
Mellem Fredrik 	AP	18	Male	Norsk		1969	No	Oslo	0301	Oslo
Haugdal Grete 	AP	19	Female	Norsk		1971	No	Oslo	0301	Oslo
Tønsberg Olav 	AP	20	Male	Norsk		1948	No	Oslo	0301	Oslo
Storvik Channeh Joof	AP	21	Female	Norsk		1966	No	Oslo	0301	Oslo
Lillehagen Hans Christian	AP	22	Male	Norsk		1970	No	Oslo	0301	Oslo
Kaur Prableen	AP	23	Female	Non	Indian	1993	No	Oslo	0301	Oslo
Vederhus Håvard	AP	24	Male	Norsk		1989	No	Oslo	0301	Oslo
Jamholt Gro Bratteli	AP	25	Female	Norsk		1976	No	Oslo	0301	Oslo
Christiansen Ivar	AP	26	Male	Norsk		1949	No	Oslo	0301	Oslo
Lødrup Julie	AP	27	Female	Norsk		1983	No	Oslo	0301	Oslo
Langerød Per Anders 	AP	28	Male	Norsk		1985	No	Oslo	0301	Oslo
Hellum Karina	AP	29	Female	Norsk		1961	No	Oslo	0301	Oslo
Nygren Jørn	AP	30	Male	Norsk		1964	No	Oslo	0301	Oslo
Al-Samarai Zaineb	AP	31	Female	Non	Arabic	1987	No	Oslo	0301	Oslo
Ahmed Nasir 	AP	32	Male	Non	Arabic	1983	No	Oslo	0301	Oslo
Staalesen Siri Gåsemyr	AP	33	Female	Norsk		1973	No	Oslo	0301	Oslo
Kristiansen Jørn	AP	34	Male	Norsk		1966	No	Oslo	0301	Oslo
Fossheim Siri 	AP	35	Female	Norsk		1973	No	Oslo	0301	Oslo
Haugli Håkon	AP	36	Male	Norsk		1969	No	Oslo	0301	Oslo
Larsen Ida Viksveen	AP	37	Female	Norsk		1982	No	Oslo	0301	Oslo
